family,params,seed,n,m,solver_type,preprocessing_enabled,propagation_enabled,lower_bound_type,optimal_cover_size,runtime_seconds,nodes_explored,nodes_pruned,max_depth,forced_assignments,preprocessing_reductions,vertices_removed_by_preprocessing,root_lower_bound,finished,threshold_trajectory
erdos_renyi_density,"n=20, p=0.1",42,20,23,baseline,False,False,trivial,9,0.042861,7351,3665,20,0,0,0,0,True,[]
erdos_renyi_density,"n=20, p=0.1",42,20,23,improved,True,True,maximal_matching,9,8.5e-05,3,1,1,2,20,12,9,True,[]
erdos_renyi_density,"n=20, p=0.1",42,20,23,raw_emulation,False,False,trivial,9,0.872631,14923,0,0,0,0,0,0,True,"[(8, 1.0, 12), (16, 1.0, 12), (32, 2.0, 46), (64, 2.0, 46), (128, 2.0, 46), (128, 3.0, 122), (256, 4.0, 246), (512, 4.0, 246), (512, 6.0, 746), (1024, 4.0, 246), (1024, 6.0, 746), (1024, 7.0, 1410), (2048, 8.0, 2805), (4096, 8.0, 2805), (4096, 9.0, 5389)]"
erdos_renyi_density,"n=20, p=0.1",42,20,23,ablation_prep,True,True,trivial,9,0.001192,17,0,0,0,0,0,0,True,"[(1, 4.0, 1), (1, 6.0, 1), (2, 16.0, 3), (2, 24.0, 3), (2, 28.0, 3), (2, 30.0, 3), (2, 31.0, 3)]"
erdos_renyi_density,"n=20, p=0.1",42,20,23,ablation_prep_lb,True,True,maximal_matching,9,0.001405,16,0,0,0,0,0,0,True,"[(1, 8.0, 1), (2, 16.0, 3), (2, 24.0, 3), (2, 28.0, 3), (2, 30.0, 3), (2, 31.0, 3)]"
erdos_renyi_density,"n=20, p=0.1",42,20,23,enhanced_emulation,True,True,maximal_matching,9,0.001365,16,0,0,0,0,0,0,True,"[(1, 8.0, 1), (2, 16.0, 3), (2, 24.0, 3), (2, 28.0, 3), (2, 30.0, 3), (2, 31.0, 3)]"
erdos_renyi_density,"n=20, p=0.1",123,20,24,baseline,False,False,trivial,9,0.03922,6659,3319,20,0,0,0,0,True,[]
erdos_renyi_density,"n=20, p=0.1",123,20,24,improved,True,True,maximal_matching,9,5.3e-05,1,0,0,0,20,11,9,True,[]
erdos_renyi_density,"n=20, p=0.1",123,20,24,raw_emulation,False,False,trivial,9,0.739306,9765,0,0,0,0,0,0,True,"[(8, 1.0, 7), (16, 2.0, 21), (32, 2.0, 21), (64, 2.0, 21), (64, 3.0, 54), (128, 4.0, 126), (256, 4.0, 126), (256, 5.0, 273), (512, 4.0, 126), (512, 6.0, 543), (1024, 4.0, 126), (1024, 6.0, 543), (1024, 7.0, 985), (2048, 8.0, 1738), (4096, 8.0, 1738), (4096, 9.0, 3317)]"
erdos_renyi_density,"n=20, p=0.1",123,20,24,ablation_prep,True,True,trivial,9,0.000499,5,0,0,0,0,0,0,True,"[(1, 16.0, 1), (1, 24.0, 1), (1, 28.0, 1), (1, 30.0, 1), (1, 31.0, 1)]"
erdos_renyi_density,"n=20, p=0.1",123,20,24,ablation_prep_lb,True,True,maximal_matching,9,0.000457,5,0,0,0,0,0,0,True,"[(1, 16.0, 1), (1, 24.0, 1), (1, 28.0, 1), (1, 30.0, 1), (1, 31.0, 1)]"
erdos_renyi_density,"n=20, p=0.1",123,20,24,enhanced_emulation,True,True,maximal_matching,9,0.000443,5,0,0,0,0,0,0,True,"[(1, 16.0, 1), (1, 24.0, 1), (1, 28.0, 1), (1, 30.0, 1), (1, 31.0, 1)]"
erdos_renyi_density,"n=20, p=0.1",256,20,23,baseline,False,False,trivial,9,0.05858,10305,5142,20,0,0,0,0,True,[]
erdos_renyi_density,"n=20, p=0.1",256,20,23,improved,True,True,maximal_matching,9,9.2e-05,3,1,1,3,22,13,9,True,[]
erdos_renyi_density,"n=20, p=0.1",256,20,23,raw_emulation,False,False,trivial,9,0.820398,15390,0,0,0,0,0,0,True,"[(16, 1.0, 21), (32, 1.0, 21), (64, 2.0, 61), (128, 2.0, 61), (128, 3.0, 140), (256, 4.0, 284), (512, 4.0, 284), (512, 5.0, 564), (1024, 4.0, 284), (1024, 6.0, 1100), (2048, 4.0, 284), (2048, 6.0, 1100), (2048, 7.0, 2023), (4096, 8.0, 3482), (4096, 9.0, 5681)]"
erdos_renyi_density,"n=20, p=0.1",256,20,23,ablation_prep,True,True,trivial,9,0.00213,30,0,0,0,0,0,0,True,"[(1, 4.0, 1), (1, 5.0, 1), (2, 4.0, 1), (2, 6.0, 2), (4, 16.0, 5), (4, 24.0, 5), (4, 28.0, 5), (4, 30.0, 5), (4, 31.0, 5)]"
erdos_renyi_density,"n=20, p=0.1",256,20,23,ablation_prep_lb,True,True,maximal_matching,9,0.001893,27,0,0,0,0,0,0,True,"[(1, 8.0, 1), (2, 8.0, 1), (4, 16.0, 5), (4, 24.0, 5), (4, 28.0, 5), (4, 30.0, 5), (4, 31.0, 5)]"
erdos_renyi_density,"n=20, p=0.1",256,20,23,enhanced_emulation,True,True,maximal_matching,9,0.001613,16,0,0,0,0,0,0,True,"[(1, 8.0, 1), (2, 16.0, 3), (2, 24.0, 3), (2, 28.0, 3), (2, 30.0, 3), (2, 31.0, 3)]"
erdos_renyi_density,"n=20, p=0.1",789,20,17,baseline,False,False,trivial,9,0.12167,23033,11506,20,0,0,0,0,True,[]
erdos_renyi_density,"n=20, p=0.1",789,20,17,improved,True,True,maximal_matching,9,7.5e-05,3,1,1,2,21,12,8,True,[]
erdos_renyi_density,"n=20, p=0.1",789,20,17,raw_emulation,False,False,trivial,9,1.720494,27313,0,0,0,0,0,0,True,"[(16, 1.0, 23), (32, 1.0, 23), (64, 2.0, 77), (128, 2.0, 77), (256, 2.0, 77), (256, 3.0, 200), (512, 4.0, 434), (1024, 4.0, 434), (1024, 5.0, 866), (2048, 4.0, 434), (2048, 6.0, 1684), (4096, 4.0, 434), (4096, 6.0, 1684), (4096, 7.0, 3244), (8192, 8.0, 6170), (8192, 9.0, 11452)]"
erdos_renyi_density,"n=20, p=0.1",789,20,17,ablation_prep,True,True,trivial,9,0.001109,17,0,0,0,0,0,0,True,"[(1, 4.0, 1), (1, 5.0, 1), (2, 16.0, 3), (2, 24.0, 3), (2, 28.0, 3), (2, 30.0, 3), (2, 31.0, 3)]"
