family,params,seed,n,m,solver_type,preprocessing_enabled,propagation_enabled,lower_bound_type,optimal_cover_size,runtime_seconds,nodes_explored,nodes_pruned,max_depth,forced_assignments,preprocessing_reductions,vertices_removed_by_preprocessing,root_lower_bound,finished,threshold_trajectory
random_regular,"n=10, d=3",42,10,15,baseline,False,False,trivial,6,0.000947,261,127,10,0,0,0,0,True,[]
random_regular,"n=10, d=3",42,10,15,improved,True,True,maximal_matching,6,0.000107,7,3,3,8,13,8,4,True,[]
random_regular,"n=10, d=3",42,10,15,raw_emulation,False,False,trivial,6,0.015527,389,0,0,0,0,0,0,True,"[(8, 1.0, 12), (16, 1.0, 12), (32, 2.0, 25), (32, 3.0, 43), (64, 4.0, 69), (128, 4.0, 69), (128, 6.0, 159)]"
random_regular,"n=10, d=3",42,10,15,ablation_prep,True,True,trivial,6,0.002759,55,0,0,0,0,0,0,True,"[(4, 2.0, 5), (4, 3.0, 6), (8, 8.0, 11), (8, 12.0, 11), (8, 14.0, 11), (8, 15.0, 11)]"
random_regular,"n=10, d=3",42,10,15,ablation_prep_lb,True,True,maximal_matching,6,0.002282,54,0,0,0,0,0,0,True,"[(1, 2.0, 1), (1, 3.0, 1), (2, 4.0, 2), (4, 4.0, 2), (4, 5.0, 4), (8, 8.0, 11), (8, 12.0, 11), (8, 14.0, 11), (8, 15.0, 11)]"
random_regular,"n=10, d=3",42,10,15,enhanced_emulation,True,True,maximal_matching,6,0.002179,46,0,0,0,0,0,0,True,"[(1, 2.0, 1), (1, 3.0, 1), (2, 4.0, 2), (4, 4.0, 2), (4, 5.0, 4), (8, 8.0, 9), (8, 12.0, 9), (8, 14.0, 9), (8, 15.0, 9)]"
random_regular,"n=10, d=3",123,10,15,baseline,False,False,trivial,6,0.000879,245,119,10,0,0,0,0,True,[]
random_regular,"n=10, d=3",123,10,15,improved,True,True,maximal_matching,6,8.2e-05,5,2,2,6,15,8,4,True,[]
random_regular,"n=10, d=3",123,10,15,raw_emulation,False,False,trivial,6,0.014043,368,0,0,0,0,0,0,True,"[(8, 1.0, 7), (16, 2.0, 17), (32, 2.0, 17), (32, 3.0, 37), (64, 4.0, 67), (128, 4.0, 67), (128, 6.0, 156)]"
random_regular,"n=10, d=3",123,10,15,ablation_prep,True,True,trivial,6,0.002571,55,0,0,0,0,0,0,True,"[(4, 2.0, 5), (4, 3.0, 6), (8, 8.0, 11), (8, 12.0, 11), (8, 14.0, 11), (8, 15.0, 11)]"
random_regular,"n=10, d=3",123,10,15,ablation_prep_lb,True,True,maximal_matching,6,0.002365,55,0,0,0,0,0,0,True,"[(1, 2.0, 1), (1, 3.0, 1), (2, 4.0, 2), (4, 4.0, 2), (4, 5.0, 5), (8, 8.0, 11), (8, 12.0, 11), (8, 14.0, 11), (8, 15.0, 11)]"
random_regular,"n=10, d=3",123,10,15,enhanced_emulation,True,True,maximal_matching,6,0.002153,38,0,0,0,0,0,0,True,"[(1, 2.0, 1), (1, 3.0, 1), (2, 4.0, 2), (4, 4.0, 2), (4, 5.0, 4), (8, 8.0, 7), (8, 12.0, 7), (8, 14.0, 7), (8, 15.0, 7)]"
random_regular,"n=10, d=3",256,10,15,baseline,False,False,trivial,6,0.00094,259,126,10,0,0,0,0,True,[]
random_regular,"n=10, d=3",256,10,15,improved,True,True,maximal_matching,6,0.0001,7,3,3,8,13,7,4,True,[]
random_regular,"n=10, d=3",256,10,15,raw_emulation,False,False,trivial,6,0.022193,370,0,0,0,0,0,0,True,"[(8, 1.0, 8), (16, 2.0, 19), (32, 2.0, 19), (32, 3.0, 37), (64, 4.0, 64), (128, 4.0, 64), (128, 6.0, 159)]"
random_regular,"n=10, d=3",256,10,15,ablation_prep,True,True,trivial,6,0.004112,46,0,0,0,0,0,0,True,"[(4, 2.0, 5), (4, 3.0, 5), (8, 8.0, 9), (8, 12.0, 9), (8, 14.0, 9), (8, 15.0, 9)]"
random_regular,"n=10, d=3",256,10,15,ablation_prep_lb,True,True,maximal_matching,6,0.002957,48,0,0,0,0,0,0,True,"[(1, 2.0, 1), (1, 3.0, 1), (2, 4.0, 2), (4, 4.0, 2), (4, 5.0, 6), (8, 8.0, 9), (8, 12.0, 9), (8, 14.0, 9), (8, 15.0, 9)]"
random_regular,"n=10, d=3",256,10,15,enhanced_emulation,True,True,maximal_matching,6,0.002598,48,0,0,0,0,0,0,True,"[(1, 2.0, 1), (1, 3.0, 1), (2, 4.0, 2), (4, 4.0, 2), (4, 5.0, 6), (8, 8.0, 9), (8, 12.0, 9), (8, 14.0, 9), (8, 15.0, 9)]"
random_regular,"n=10, d=3",789,10,15,baseline,False,False,trivial,6,0.001631,229,111,10,0,0,0,0,True,[]
random_regular,"n=10, d=3",789,10,15,improved,True,True,maximal_matching,6,0.000126,7,3,3,9,18,10,4,True,[]
random_regular,"n=10, d=3",789,10,15,raw_emulation,False,False,trivial,6,0.021417,336,0,0,0,0,0,0,True,"[(8, 1.0, 7), (16, 2.0, 16), (32, 2.0, 16), (32, 3.0, 31), (64, 4.0, 59), (128, 4.0, 59), (128, 6.0, 148)]"
random_regular,"n=10, d=3",789,10,15,ablation_prep,True,True,trivial,6,0.002625,55,0,0,0,0,0,0,True,"[(4, 2.0, 5), (4, 3.0, 6), (8, 8.0, 11), (8, 12.0, 11), (8, 14.0, 11), (8, 15.0, 11)]"
random_regular,"n=10, d=3",789,10,15,ablation_prep_lb,True,True,maximal_matching,6,0.002943,56,0,0,0,0,0,0,True,"[(1, 2.0, 1), (1, 3.0, 1), (2, 4.0, 2), (4, 4.0, 2), (4, 5.0, 6), (8, 8.0, 11), (8, 12.0, 11), (8, 14.0, 11), (8, 15.0, 11)]"
random_regular,"n=10, d=3",789,10,15,enhanced_emulation,True,True,maximal_matching,6,0.003189,46,0,0,0,0,0,0,True,"[(1, 2.0, 1), (1, 3.0, 1), (2, 4.0, 2), (4, 4.0, 2), (4, 5.0, 4), (8, 8.0, 9), (8, 12.0, 9), (8, 14.0, 9), (8, 15.0, 9)]"
random_regular,"n=10, d=3",1024,10,15,baseline,False,False,trivial,6,0.001097,275,134,10,0,0,0,0,True,[]
random_regular,"n=10, d=3",1024,10,15,improved,True,True,maximal_matching,6,0.000146,9,4,3,10,17,10,4,True,[]
random_regular,"n=10, d=3",1024,10,15,raw_emulation,False,False,trivial,6,0.017217,426,0,0,0,0,0,0,True,"[(8, 1.0, 12), (16, 1.0, 12), (32, 2.0, 26), (32, 3.0, 48), (64, 4.0, 77), (128, 4.0, 77), (128, 6.0, 174)]"
random_regular,"n=10, d=3",1024,10,15,ablation_prep,True,True,trivial,6,0.003114,46,0,0,0,0,0,0,True,"[(4, 2.0, 5), (4, 3.0, 5), (8, 8.0, 9), (8, 12.0, 9), (8, 14.0, 9), (8, 15.0, 9)]"
random_regular,"n=10, d=3",1024,10,15,ablation_prep_lb,True,True,maximal_matching,6,0.002232,44,0,0,0,0,0,0,True,"[(1, 2.0, 1), (1, 3.0, 1), (2, 2.0, 1), (2, 3.0, 1), (4, 4.0, 4), (8, 8.0, 9), (8, 12.0, 9), (8, 14.0, 9), (8, 15.0, 9)]"
random_regular,"n=10, d=3",1024,10,15,enhanced_emulation,True,True,maximal_matching,6,0.002372,44,0,0,0,0,0,0,True,"[(1, 2.0, 1), (1, 3.0, 1), (2, 2.0, 1), (2, 3.0, 1), (4, 4.0, 4), (8, 8.0, 9), (8, 12.0, 9), (8, 14.0, 9), (8, 15.0, 9)]"
random_regular,"n=10, d=4",42,10,20,baseline,False,False,trivial,6,0.000904,197,95,10,0,0,0,0,True,[]
random_regular,"n=10, d=4",42,10,20,improved,True,True,maximal_matching,6,0.000156,9,3,4,15,14,9,4,True,[]
random_regular,"n=10, d=4",42,10,20,raw_emulation,False,False,trivial,6,0.019188,388,0,0,0,0,0,0,True,"[(4, 1.0, 6), (8, 2.0, 12), (16, 2.0, 12), (16, 3.0, 23), (32, 4.0, 42), (64, 4.0, 42), (64, 5.0, 69), (128, 8.0, 182)]"
random_regular,"n=10, d=4",42,10,20,ablation_prep,True,True,trivial,6,0.004771,86,0,0,0,0,0,0,True,"[(4, 2.0, 6), (8, 4.0, 12), (16, 8.0, 17), (16, 12.0, 17), (16, 14.0, 17), (16, 15.0, 17)]"
