family,params,seed,n,m,solver_type,preprocessing_enabled,propagation_enabled,lower_bound_type,optimal_cover_size,runtime_seconds,nodes_explored,nodes_pruned,max_depth,forced_assignments,preprocessing_reductions,vertices_removed_by_preprocessing,root_lower_bound,finished,threshold_trajectory
toy,toy_5,0,5,6,baseline,False,False,trivial,3,8.1e-05,31,14,5,0,0,0,0,True,[]
toy,toy_5,0,5,6,improved,True,True,maximal_matching,3,2.9e-05,3,1,1,3,5,3,2,True,[]
toy,toy_5,0,5,6,raw_emulation,False,False,trivial,3,0.001082,47,0,0,0,0,0,0,True,"[(4, 1.0, 5), (8, 2.0, 11), (16, 2.0, 11), (16, 3.0, 20)]"
toy,toy_5,0,5,6,ablation_prep,True,True,trivial,3,0.00057,15,0,0,0,0,0,0,True,"[(4, 4.0, 5), (4, 6.0, 5), (4, 7.0, 5)]"
toy,toy_5,0,5,6,ablation_prep_lb,True,True,maximal_matching,3,0.000556,18,0,0,0,0,0,0,True,"[(1, 1.0, 1), (2, 2.0, 2), (4, 4.0, 5), (4, 6.0, 5), (4, 7.0, 5)]"
toy,toy_5,0,5,6,enhanced_emulation,True,True,maximal_matching,3,0.00034,10,0,0,0,0,0,0,True,"[(1, 1.0, 1), (2, 4.0, 3), (2, 6.0, 3), (2, 7.0, 3)]"
toy,toy_8,0,8,10,baseline,False,False,trivial,4,0.00044,139,66,8,0,0,0,0,True,[]
toy,toy_8,0,8,10,improved,True,True,maximal_matching,4,4e-05,3,1,1,3,11,6,3,True,[]
toy,toy_8,0,8,10,raw_emulation,False,False,trivial,4,0.005803,227,0,0,0,0,0,0,True,"[(4, 1.0, 6), (8, 1.0, 6), (16, 2.0, 16), (32, 2.0, 16), (32, 3.0, 33), (64, 4.0, 59), (64, 5.0, 91)]"
toy,toy_8,0,8,10,ablation_prep,True,True,trivial,4,0.001288,32,0,0,0,0,0,0,True,"[(4, 2.0, 5), (4, 3.0, 6), (8, 4.0, 7), (8, 6.0, 7), (8, 7.0, 7)]"
toy,toy_8,0,8,10,ablation_prep_lb,True,True,maximal_matching,4,0.000693,10,0,0,0,0,0,0,True,"[(1, 2.0, 1), (2, 2.0, 1), (2, 3.0, 2), (4, 4.0, 6)]"
toy,toy_8,0,8,10,enhanced_emulation,True,True,maximal_matching,4,0.000458,10,0,0,0,0,0,0,True,"[(1, 2.0, 1), (2, 4.0, 3), (2, 6.0, 3), (2, 7.0, 3)]"
toy,toy_9_mvc_2,0,9,8,baseline,False,False,trivial,2,0.000448,75,31,9,0,0,0,0,True,[]
toy,toy_9_mvc_2,0,9,8,improved,True,True,maximal_matching,2,1.9e-05,1,0,0,0,9,7,2,True,[]
toy,toy_9_mvc_2,0,9,8,raw_emulation,False,False,trivial,2,0.003107,47,0,0,0,0,0,0,True,"[(8, 1.0, 9), (16, 1.0, 9), (32, 2.0, 29)]"
toy,toy_9_mvc_2,0,9,8,ablation_prep,True,True,trivial,2,0.000198,4,0,0,0,0,0,0,True,"[(1, 8.0, 1), (1, 12.0, 1), (1, 14.0, 1), (1, 15.0, 1)]"
toy,toy_9_mvc_2,0,9,8,ablation_prep_lb,True,True,maximal_matching,2,0.00033,4,0,0,0,0,0,0,True,"[(1, 8.0, 1), (1, 12.0, 1), (1, 14.0, 1), (1, 15.0, 1)]"
toy,toy_9_mvc_2,0,9,8,enhanced_emulation,True,True,maximal_matching,2,0.000175,4,0,0,0,0,0,0,True,"[(1, 8.0, 1), (1, 12.0, 1), (1, 14.0, 1), (1, 15.0, 1)]"
toy,toy_11_mvc_3,0,11,11,baseline,False,False,trivial,3,0.000392,105,45,11,0,0,0,0,True,[]
toy,toy_11_mvc_3,0,11,11,improved,True,True,maximal_matching,3,1.9e-05,1,0,0,0,11,8,3,True,[]
toy,toy_11_mvc_3,0,11,11,raw_emulation,False,False,trivial,3,0.004425,87,0,0,0,0,0,0,True,"[(4, 1.0, 6), (8, 1.0, 6), (16, 2.0, 16), (32, 2.0, 16), (32, 3.0, 43)]"
toy,toy_11_mvc_3,0,11,11,ablation_prep,True,True,trivial,3,0.000254,4,0,0,0,0,0,0,True,"[(1, 8.0, 1), (1, 12.0, 1), (1, 14.0, 1), (1, 15.0, 1)]"
toy,toy_11_mvc_3,0,11,11,ablation_prep_lb,True,True,maximal_matching,3,0.000234,4,0,0,0,0,0,0,True,"[(1, 8.0, 1), (1, 12.0, 1), (1, 14.0, 1), (1, 15.0, 1)]"
toy,toy_11_mvc_3,0,11,11,enhanced_emulation,True,True,maximal_matching,3,0.000227,4,0,0,0,0,0,0,True,"[(1, 8.0, 1), (1, 12.0, 1), (1, 14.0, 1), (1, 15.0, 1)]"
toy,toy_15_star,0,15,14,baseline,False,False,trivial,1,0.001409,265,119,15,0,0,0,0,True,[]
toy,toy_15_star,0,15,14,improved,True,True,maximal_matching,1,2.6e-05,1,0,0,0,15,14,1,True,[]
toy,toy_15_star,0,15,14,raw_emulation,False,False,trivial,1,0.005798,31,0,0,0,0,0,0,True,"[(32, 1.0, 31)]"
toy,toy_15_star,0,15,14,ablation_prep,True,True,trivial,1,0.000275,4,0,0,0,0,0,0,True,"[(1, 8.0, 1), (1, 12.0, 1), (1, 14.0, 1), (1, 15.0, 1)]"
toy,toy_15_star,0,15,14,ablation_prep_lb,True,True,maximal_matching,1,0.000223,4,0,0,0,0,0,0,True,"[(1, 8.0, 1), (1, 12.0, 1), (1, 14.0, 1), (1, 15.0, 1)]"
toy,toy_15_star,0,15,14,enhanced_emulation,True,True,maximal_matching,1,0.000337,4,0,0,0,0,0,0,True,"[(1, 8.0, 1), (1, 12.0, 1), (1, 14.0, 1), (1, 15.0, 1)]"
